Position,Company,Location,Job Type,Posting Date
Drivers,Pakachere Institute of Health and Development Communication,Zomba and Machinga,Full Time,2024-04-17
Specialist Obstetrician/Gynecologist,Baylor College of Medicine Children’s Foundation – Malawi,"Lilongwe, Malawi",Full Time,2024-04-17
Monitoring and Evaluation (M&E) Assistant,Inter Aide,"Mangochi, Malawi",Full Time,2024-04-17
In-Country Grants Officer,Alliance for a Green Revolution in Africa (AGRA),"Lilongwe, Malawi",Full Time,2024-04-17
Nurse (2 Positions),Partners in Hope (PIH),Dowa & Lilongwe,Full Time,2024-04-17
Medical Assistant (2 Positions),Partners in Hope (PIH),Karonga & Lilongwe,Full Time,2024-04-17
Clinical Officer (3 Positions),Partners in Hope (PIH),"Lilongwe, Nsanje & Chikwawa",Full Time,2024-04-17
Procurement and Supply Management (PSM) Technical Director,Chemonics,"Lilongwe, Malawi",Full Time,2024-04-17
Process Server,Malawi Revenue Authority (MRA),"Blantyre, Malawi",Full Time,2024-04-17
Legal Counsel – Drafting,Malawi Revenue Authority (MRA),"Blantyre, Malawi",Full Time,2024-04-17
Legal Counsel – Civil Litigation (2),Malawi Revenue Authority (MRA),"Blantyre, Malawi",Full Time,2024-04-17
Senior Legal Counsel – Criminal Prosecutions,Malawi Revenue Authority (MRA),"Blantyre, Malawi",Full Time,2024-04-17
Accounts Officer,African Union Development Agency,"Johannesburg, South Africa",Full Time,2024-04-17
Accounts Officer,African Union Development Agency,"Johannesburg, South Africa",Full Time,2024-04-17
Procurement Officer – Projects Support,African Union Development Agency,"Johannesburg, South Africa",Full Time,2024-04-17
"Senior Adviser, Science Technology and Innovation",African Union Development Agency,"Johannesburg, South Africa",Full Time,2024-04-17
Various Vacancies,Malawi College of Health Sciences,"Blantyre, Lilongwe and Zomba",Full Time,2024-04-17
Project Coordinator – SRHR,Churches Action In Relief and Development (CARD),"Blantyre, Malawi",Full Time,2024-04-16
Agriculture and Nutrition Specialist,Counterpart International,Malawi,Full Time,2024-04-16
Commodities Manager,Counterpart International,Malawi,Full Time,2024-04-16
"Monitoring, Evaluation & Learning (MEL) Manager",Counterpart International,Malawi,Full Time,2024-04-16
Sustainability Policy & Outreach Lead,Counterpart International,Malawi,Full Time,2024-04-16
Deputy Chief of Party,Counterpart International,Malawi,Full Time,2024-04-16
Operations Manager,Simama Group of Companies,"Lilongwe, Malawi",Full Time,2024-04-16
Weapons and Ammunition Management (WAM) Regional Project Manager,The HALO Trust,Malawi,Full Time,2024-04-16
National Professional Officer (Prevention of & Response to Sexual Misconduct,World Health Organization(WHO),"Lilongwe, Malawi",Temporary,2024-04-15
Lead Civil Engineer,United Nations Office for Project Services (UNOPS),"Lilongwe, Malawi",Fixed Contract,2024-04-15
